Account Number,Loyalty_Score,bonus_usage_score,Total_Score,Final_Score_Percentage,Customer_Tier,CUSTOMER_TYPE
1000001,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000002,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000003,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000004,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000005,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000006,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000007,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000008,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000009,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000010,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000011,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000012,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000013,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000014,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000015,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000016,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000017,5.0,10,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000018,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000019,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000020,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000021,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000022,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000023,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000024,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000025,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000026,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000027,20.0,20,40.0,100.0,Tier 1 Priority Service,Retail
1000028,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000029,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000030,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000031,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000032,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000033,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000034,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000035,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000036,5.0,20,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000037,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000038,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000039,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000040,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000041,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000042,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000043,10.0,10,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000044,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
